Decidim Commentable ID,Body
11909,"Muito boa sua proposta, é necessário regulamentar o ensino superior privado! Aproveito para deixar a minha aqui também! 

gid://decide/Decidim::Proposals::Proposal/11911"
11909,"Educação não é mercadoria. Educação é um.direito. E  deve ser pública, gratuita,  laica e de qualidade social "
11651,"Muito boa sua proposta, é necessário o combate às violências! Aproveito para deixar a minha aqui também!

gid://decide/Decidim::Proposals::Proposal/11911"
2255,Com certeza! Já votei.
2250,Votado! 
11911,Uma Pais soberano investe na Juventude.
2251,Apoiado! Estou animada para participar da conferência 
2253,"Excelente ideia, de fato precisamos de mais órgãos que regulamentem e fiscalizem as instituições de ensino privada"
2256,Apoiadíssimo! Espero te ver na conferência 
2258,"Exato! Mas dado que temos essa modalidade, precisamos garantir que não exista abusos com os estudantes com a alta das mensalidades "
11878,💚
11911,Ótima proposta! Vou compartilhar.
11909,"Que proposta sensacional, vou compartilhar!"
11901,"Apoiada.
Me ajude na minha também.

gid://decide/Decidim::Proposals::Proposal/11651"
11804,"Apoiada.
Me ajude na minha também.

gid://decide/Decidim::Proposals::Proposal/11651"
11877,"Apoiada.
Me ajude na minha também.

gid://decide/Decidim::Proposals::Proposal/11651"
2262,Fui na de 2015 foi maravilhosa
11685,"Apoiada.
Me ajude na minha também.

gid://decide/Decidim::Proposals::Proposal/11651"
11668,"Apoiada.
Me ajude na minha também.

gid://decide/Decidim::Proposals::Proposal/11651"
11899,"Apoiada.
Me ajude na minha também.

gid://decide/Decidim::Proposals::Proposal/11651"
11878,"Apoiada.
Me ajude na minha também.

gid://decide/Decidim::Proposals::Proposal/11651"
11852,Excelente proposta! Parabéns pela iniciativa 👏👏
11788,Parabéns pela iniciativa 
11787,Parabéns pela proposta
11965,Uma proposta que se faz muito necessária em nosso cenário atual. Tem meu total apoio. 
12166,"Votado!!! Parabéns, vote em minha proposta: gid://decide/Decidim::Proposals::Proposal/12035"
12096,"Votado!!! Parabéns, vote em minha proposta: gid://decide/Decidim::Proposals::Proposal/12035"
12165,"Votado!!! Parabéns, vote em minha proposta: gid://decide/Decidim::Proposals::Proposal/12035"
12040,proposta nota 1000! parabéns. 
12040,jovem + arte :  ❤️ 
11964,Muito bom. Parabéns meu querido pela iniciativa. É muito importante envolver os jovens na política para melhorar o debate público sobre cidadania.
12050,Excelente proposta! Parabéns!  👏🏼 👏🏼 👏🏼 👏🏼 
12025,"Parabéns a todos os envolvidos no projeto,
Sucesso!"
4300,Obrigado pelo apoio!!!
4271,Vamos quebrar esse estigma sobre saúde mental!!!
4033,Obrigado pelo apoio!
4203,Feito
4044,Obrigado pelo apoio!
4038,Concordo!!!
3592,Obrigado pelo apoio!
3593,Gratidão!
12040,precisamos disso  🤩 
12040,shoooooow 🤩  😍 
11989,Muito necessário! 👏🏻👏🏻👏🏻
12169,A iniciativa de criar um Programa Nacional de Formação de Lideranças Juvenis para a Preservação do Cerrado é uma abordagem crucial para enfrentar os desafios ambientais e de sustentabilidade que afetam essa região.
12169,"Ótima iniciativa, importante impulsionar e quem sabe dê pra se extender para outros biomas 😮"
12169,Necessário 
12169,Iniciativa importante e necessária! 
12166,"Parabéns pela proposta, a participação da juventude no desenvolvimento da educação do país é de extrema importância. Como professora defendo o protagonismo juvenil como solução de diversos problemas que enfrentamos no dia-a-dia da escola."
12169,Vamo que vamo! 
12169,Esta iniciativa é uma faísca de esperança para o bioma que mais tem sido devastado ! 
11967,Proposta excelente! 
11967,Proposta excelente! 
12169,"Forte demais a proposta! É assim que conseguiremos dar um passo para reverter a devastação do Cerrado, última fronteira agrícola do mundo."
12169,"Empoderamento da Juventude: Este projeto proporciona aos jovens das comunidades impactadas no bioma Cerrado a oportunidade de se tornarem agentes ativos na preservação ambiental. Capacitá-los com conhecimentos sobre biodiversidade, manejo sustentável e liderança comunitária é um passo essencial para empoderar essa geração a tomar medidas significativas."
12169,"Conservação de um Bioma Precioso: O Cerrado é um dos biomas mais ricos em biodiversidade do mundo, mas também um dos mais ameaçados. Esse projeto foca em uma abordagem proativa, treinando jovens para se tornarem defensores ativos da preservação do Cerrado, contribuindo para a proteção de espécies e ecossistemas únicos."
12169,"Fortalecimento da Consciência Ambiental: Ao oferecer cursos, workshops e mentorias sobre temas relevantes, como legislação ambiental, esse programa contribui para a formação de uma consciência ambiental sólida. Os jovens envolvidos não apenas entendem a importância da preservação, mas também adquirem as ferramentas para fazer a diferença em suas comunidades."
12169,"Impacto Duradouro: Ao capacitar a juventude, esse programa investe no futuro da preservação do Cerrado. Os conhecimentos e habilidades adquiridos pelos participantes serão valiosos a longo prazo, contribuindo para a sustentabilidade e a proteção contínua desse bioma precioso."
12169,"Fomento da Sustentabilidade Comunitária: A formação em liderança comunitária é um componente chave desse projeto. Isso significa que os participantes não apenas aprendem sobre a importância da preservação, mas também como mobilizar e envolver suas próprias comunidades. Isso cria um impacto multiplicador, expandindo o alcance e a eficácia das iniciativas de conservação."
12169,"A proposta desse projeto é extremamente positiva e relevante. Ela aborda de forma abrangente a importância da preservação do bioma Cerrado, envolvendo diretamente a juventude das comunidades impactadas. Ao oferecer cursos, workshops e mentorias sobre temas essenciais como biodiversidade, manejo sustentável, legislação ambiental e liderança comunitária, o programa prepara os jovens para desempenhar um papel ativo na conservação e sustentabilidade da região. Além disso, ao focar em comunidades diretamente afetadas, o projeto demonstra uma abordagem inclusiva e sensível às necessidades locais. No geral, essa proposta é uma iniciativa valiosa que tem o potencial de fazer uma grande diferença na preservação do Cerrado e no empoderamento da juventude como agentes de mudança ambiental."
12169,Iniciativa importante e necessária pela conscientização e preservação do cerrado! 
12169,"Iniciativa fundamental para construirmos uma base de pessoas capaz de lutar pela preservação do Cerrado e, como consequência, lutar pela esperança de um mundo melhor! "
6336,Muito obrigada ☺️
11651,Apoiado!
12169,"Ação importante para promover o conhecimento sobre  importância de preservar o Cerrado, o berço das águas. "
12169,Muito interessante essa proposta! É preciso cultivar uma nova juventude para o Cerrado.
12169,Proposta com foco crucial para a construção de ações duradouras e eficazes para o Cerrado!
12169,Necessário! 
12169,"Muito interessante esse programa, o bioma cerrado está sendo destruído sem preocupação alguma com a situação climática que estamos enfrentando.  Todas as iniciativas no sentido de proteger o Cerrado deve ser abraçada pelos representantes "
12169,"Parabéns, "
12169,"Parabéns. 
Sua luta minha luta. 
E deveria ser a  luta de todos.
Afinal nossa sobrevivência é da sobrevivência das futuras gerações.  Depende de como tratamos a  terra. 
.te sigo te apoio ."
12169,EXTREMAMENTE NECESSÁRIO! 
12169, ✊ 
4442,Obrigado pelo apoio. A sua proposta também é bastante interessante e pertinente. Já deixei o meu voto. 
4465,"Obrigado pelo apoio! Espero que possamos garantir mais participação para a juventude, para que assim tenhamos um protagonismo juvenil mais fortalecido e estruturado nas camadas que compõem a nossa educação."
3178,"É de absoluta relevância, e extrema necessidade! Hoje é comprovado o alto índice de CRIANÇAS e ADOLESCENTES com esses transtornos. Parabéns pela iniciativa."
11773,"Muito bom, apoiado."
11773,Isso ai! investir na juventude é investir no país.
11773,Tem meu apoio
12169,"Pelo Cerrado, seguimos ✊🏽💚"
11964,"Art. 217. É dever do Estado fomentar práticas desportivas formais e não-formais, como direito de cada um”. Apoiado Danilo.👏🏻👏🏻"
12040,A proposta fortalece a arte e cultura. É super importante que aconteça.
11990,100% a favor!!
4494,Vamos que vamos!
12169,"Ótima iniciativa, estão de Parabêns!!!!"
12169,Importante 
11700,Votado! Amei a proposta 
12169,Necessário 
12169,"Parabéns pela iniciativa, pessoal!"
11967,Acho fundamental se quisermos adiar o fim do mundo!
11967,Importante 
11967,"Vejo a proposta, principalmente o que tange sua multidisciplinaridade, como de grande importância para a formação de gerações futuras."
12169,Parabéns pela iniciativa!
11967,gid://decide/Decidim::Hashtag/86/educaçãoclimáticajá!
11967,Educação é uma ferramenta fundamental para capacitar crianças e jovens para a crise climática que já avança mais rápido e com mais intensidade do que a ciência previu!
12169,"Essencial, parabéns AVINC!"
12169,Extremamente necessário conscientizar a juventude sobre a importância do cerrado 
11873,Apoiado!
12169,Vamos lutar pela nossa savana mais rica em biodiversidade do mundo! Para que a ganância não termine de com nosso querido berço das águas!
12169,"O pluralismo e a diversidade da sociedade civil socioambientalista tem no ativismo da juventude uma potência de ação imprescindível. Avante, que o Cerrado está precisando, hoje, agora!"
12169,"O pluralismo e a diversidade da sociedade civil socioambientalista tem no ativismo da juventude uma potência de ação imprescindível. Avante, que o Cerrado está precisando, hoje, agora!"
12169,Muito necessário! 
11967,Ótima proposta!
12169,Objetivos fundamentais para que a cidadania seja exercida! 
12169,Assunto importante. 
12169,fundamental! precisamos preparar a sociedade para a preservação do cerrado urgentemente.
12145,Ótima proposta!
12168,gid://decide/Decidim::Hashtag/86/educaçãoclimáticajá!
12169,Muito pertinente e necessário mobilizar a juventude para os desafios socioambientais que nos cercam. 
12169,Uma iniciativa importantíssimas para futuras gerações e do nosso bioma.
12169,"Excelente iniciativa popular em defesa do bioma Cerrado, importante berço das águas do Brasil, cerrado vive!"
11967,"Educação Climática nas Escolas é a valorização da vida e do meio ambiente, excelente projeto!"
12169,ótima iniciativa. Devemos cada vez mais favorecer meios para que a luta ecologica comece desde cedo
11849,"Temos que fazer valer o que e de direto nosso, apoio incondicional ao artigo 215 da CF parabéns pela proposta."
11967,Temática super importante de ser debatida e incluída como política pública no BRasil!
11859,"Esperaro que essa proposta seja acatada, para que os Jovens tenham acessibilidade a mais esse projeto essencial em suas atividades estudantis."
12169,"""Os corajosos são aqueles que mesmo temendo de medo lutam por um bem maior."""
12169,Excelente iniciativa é imprescindível a preservação do bioma Cerrado ora tão ameaçado pela expansão do cultivo da monocultura da soja.
12169,Juventude na liderança é esperança de qualidade de vida climática no planeta!
12262,Muito bom!
11636,"Muito muito boa a sua proposta. Aproveito para deixar a minha proposta para você conhecer e se puder, ajudar com seu voto! 

gid://decide/Decidim::Proposals::Proposal/12568"
12349,"Muito muito boa a sua proposta. Aproveito para deixar a minha proposta para você conhecer e se puder, ajudar com seu voto! 

gid://decide/Decidim::Proposals::Proposal/12568"
11697,ótima proposta! Vote na minha proposta: gid://decide/Decidim::Proposals::Proposal/11878
12402,"Necessário demais saber que tem gente lutando por causas como essa, lindo demais e tem super meu apoio e no ritmo que você vai, ainda voará muito alto, todo sucesso!!"
12225,Apoiado!!! Deixe seu voto na minha proposta. 
12272,Achei a ideia da proposta extremamente importante e relevante para nossa sociedade
12272,"Excelente proposta! É de suma importância dar espaço e poder de fala aos jovens que necessitam dessa inclusão. 

A proposta está muito bem estruturada e ver ela sendo representada por alguém que é referência como o Vinicius, é realmente incrivel! 

Tive o privilégio de ser professora desse jovem e acompanhar de perto sua trajetória como um excelente aluno, sempre buscando a inclusão. 

Parabéns Vinicius! 
Com toda certeza, seremos a favor!  😁 "
12008,Apoiado!! Deixe seu voto na minha proposta.
12099,Apoiado!! Deixe seu voto na minha proposta. 
12362,Apoiado!! Deixe seu voto na minha proposta.
12340,Apoiado!! Deixe seu voto na minha proposta.
6162,"Gratidão, querido.

Muito importante discutirmos aspectos relacionados a inclusão de pessoas LGBTs, especialmente pessoas Trans, em espaços educacionais que oportunizem mobilidade Social."
6178,Muito obrigada! Agradeço a confiança.
6180,"Gratidão!!!
Discussão super importante e que não podemos mais ignorar."
11898,Importante proposta! O investimento na educação é o caminho. 
6182,"Fico feliz em saber que apoia este movimento.

A educação deve ser para todes!!!"
6184,"Muito obrigada por todo apoio 💕

Seguiremos lutando e resistindo.

"
11886,gid://decide/Decidim::Hashtag/80/conjuclimasim
12168,gid://decide/Decidim::Hashtag/86/educaçãoclimáticajá 
11967,gid://decide/Decidim::Hashtag/86/educaçãoclimáticajá 
12272,Excelente projeto! 
12272,Parabéns pelo projeto Vinicius !! Orgulho de conhecer você e saber o tanto que você faz a diferença!  
12262,"Ótima iniciativa! Parabéns Erick , arrasou demais !"
12262,👏👏👏👏👏
5944,Obrigado!!
5997,👏👏
6112,Obrigado!!
6147,Obrigado!!
6172,Obrigado!!
6179,Obrigado!! ❤️
12035,"Importantíssimo cuidar da saúde mental, percebemos o quão defasada está nos dias atuais. 
Parabéns pela iniciativa! "
12402,"Que orgulho!!! Parabéns pela iniciativa, tem todo meu apoio, sempre soube que tu iria longe! "
12402,"Ótima iniciativa que orgulho da minha amiga Enri, que brilhe muito essa ideia👏🏻👏🏻😚"
12015,"Proposta totalmente importante, votado!, análise a minha proposta sobre gid://decide/Decidim::Proposals::Proposal/11898"
12015,"Proposta totalmente importante, votado!, análise a minha proposta sobre gid://decide/Decidim::Proposals::Proposal/11898"
12016,"Proposta totalmente importante e votada, da uma olhada na minha e vota lá também gid://decide/Decidim::Proposals::Proposal/11898"
12400,Proposta excelente! 👏🏾👏🏾👏🏾
11896,"Vamos com tudo, viabilizar, incluir e possibilitar essa oportunidade de ensino para a galera da periferia. 💪🏾 "
11896,Ótima proposta!! Tem meu total apoio ✨
12215,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
11981,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
11947,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
11789,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
11736,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
11895,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
12299,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
12125,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
12399,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
11780,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
12409,"Essa e outras políticas públicas refletem a diversidade de desafios enfrentados pelos jovens hoje. Ao implementar tais medidas, a sociedade não apenas investe no futuro, mas também cria um presente mais equitativo, inclusivo e próspero para todos os seus cidadãos jovens, garantindo que eles tenham acesso a oportunidades e recursos necessários para atingir todo o seu potencial. Ao adotar uma abordagem holística que abrange educação, saúde, emprego, igualdade e bem-estar, as políticas públicas podem efetivamente moldar um ambiente onde os jovens não apenas sobrevivem, mas também prosperam, contribuindo significativamente para o desenvolvimento sustentável da nação. Comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300"
12410,"Essa e outras políticas públicas refletem a diversidade de desafios enfrentados pelos jovens hoje. Ao implementar tais medidas, a sociedade não apenas investe no futuro, mas também cria um presente mais equitativo, inclusivo e próspero para todos os seus cidadãos jovens, garantindo que eles tenham acesso a oportunidades e recursos necessários para atingir todo o seu potencial. Ao adotar uma abordagem holística que abrange educação, saúde, emprego, igualdade e bem-estar, as políticas públicas podem efetivamente moldar um ambiente onde os jovens não apenas sobrevivem, mas também prosperam, contribuindo significativamente para o desenvolvimento sustentável da nação. Comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300"
12411,"Essa e outras políticas públicas refletem a diversidade de desafios enfrentados pelos jovens hoje. Ao implementar tais medidas, a sociedade não apenas investe no futuro, mas também cria um presente mais equitativo, inclusivo e próspero para todos os seus cidadãos jovens, garantindo que eles tenham acesso a oportunidades e recursos necessários para atingir todo o seu potencial. Ao adotar uma abordagem holística que abrange educação, saúde, emprego, igualdade e bem-estar, as políticas públicas podem efetivamente moldar um ambiente onde os jovens não apenas sobrevivem, mas também prosperam, contribuindo significativamente para o desenvolvimento sustentável da nação. Comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300"
12412,"Essa e outras políticas públicas refletem a diversidade de desafios enfrentados pelos jovens hoje. Ao implementar tais medidas, a sociedade não apenas investe no futuro, mas também cria um presente mais equitativo, inclusivo e próspero para todos os seus cidadãos jovens, garantindo que eles tenham acesso a oportunidades e recursos necessários para atingir todo o seu potencial. Ao adotar uma abordagem holística que abrange educação, saúde, emprego, igualdade e bem-estar, as políticas públicas podem efetivamente moldar um ambiente onde os jovens não apenas sobrevivem, mas também prosperam, contribuindo significativamente para o desenvolvimento sustentável da nação. Comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300"
12413,"Essa e outras políticas públicas refletem a diversidade de desafios enfrentados pelos jovens hoje. Ao implementar tais medidas, a sociedade não apenas investe no futuro, mas também cria um presente mais equitativo, inclusivo e próspero para todos os seus cidadãos jovens, garantindo que eles tenham acesso a oportunidades e recursos necessários para atingir todo o seu potencial. Ao adotar uma abordagem holística que abrange educação, saúde, emprego, igualdade e bem-estar, as políticas públicas podem efetivamente moldar um ambiente onde os jovens não apenas sobrevivem, mas também prosperam, contribuindo significativamente para o desenvolvimento sustentável da nação. Comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300"
12066,"Muito muito boa a sua proposta. Aproveito para deixar a minha proposta para você conhecer e se puder, ajudar com seu voto! 

gid://decide/Decidim::Proposals::Proposal/12568"
11968,Parabéns! Ótima proposta. Os jovens precisam desse apoio.
12414,"Essa e outras políticas públicas refletem a diversidade de desafios enfrentados pelos jovens hoje. Ao implementar tais medidas, a sociedade não apenas investe no futuro, mas também cria um presente mais equitativo, inclusivo e próspero para todos os seus cidadãos jovens, garantindo que eles tenham acesso a oportunidades e recursos necessários para atingir todo o seu potencial. Ao adotar uma abordagem holística que abrange educação, saúde, emprego, igualdade e bem-estar, as políticas públicas podem efetivamente moldar um ambiente onde os jovens não apenas sobrevivem, mas também prosperam, contribuindo significativamente para o desenvolvimento sustentável da nação. Comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300"
12415,"Essa e outras políticas públicas refletem a diversidade de desafios enfrentados pelos jovens hoje. Ao implementar tais medidas, a sociedade não apenas investe no futuro, mas também cria um presente mais equitativo, inclusivo e próspero para todos os seus cidadãos jovens, garantindo que eles tenham acesso a oportunidades e recursos necessários para atingir todo o seu potencial. Ao adotar uma abordagem holística que abrange educação, saúde, emprego, igualdade e bem-estar, as políticas públicas podem efetivamente moldar um ambiente onde os jovens não apenas sobrevivem, mas também prosperam, contribuindo significativamente para o desenvolvimento sustentável da nação. Comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300"
12416,"Essa e outras políticas públicas refletem a diversidade de desafios enfrentados pelos jovens hoje. Ao implementar tais medidas, a sociedade não apenas investe no futuro, mas também cria um presente mais equitativo, inclusivo e próspero para todos os seus cidadãos jovens, garantindo que eles tenham acesso a oportunidades e recursos necessários para atingir todo o seu potencial. Ao adotar uma abordagem holística que abrange educação, saúde, emprego, igualdade e bem-estar, as políticas públicas podem efetivamente moldar um ambiente onde os jovens não apenas sobrevivem, mas também prosperam, contribuindo significativamente para o desenvolvimento sustentável da nação. Comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300"
12417,"Essa e outras políticas públicas refletem a diversidade de desafios enfrentados pelos jovens hoje. Ao implementar tais medidas, a sociedade não apenas investe no futuro, mas também cria um presente mais equitativo, inclusivo e próspero para todos os seus cidadãos jovens, garantindo que eles tenham acesso a oportunidades e recursos necessários para atingir todo o seu potencial. Ao adotar uma abordagem holística que abrange educação, saúde, emprego, igualdade e bem-estar, as políticas públicas podem efetivamente moldar um ambiente onde os jovens não apenas sobrevivem, mas também prosperam, contribuindo significativamente para o desenvolvimento sustentável da nação. Comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300"
12418,"Essa e outras políticas públicas refletem a diversidade de desafios enfrentados pelos jovens hoje. Ao implementar tais medidas, a sociedade não apenas investe no futuro, mas também cria um presente mais equitativo, inclusivo e próspero para todos os seus cidadãos jovens, garantindo que eles tenham acesso a oportunidades e recursos necessários para atingir todo o seu potencial. Ao adotar uma abordagem holística que abrange educação, saúde, emprego, igualdade e bem-estar, as políticas públicas podem efetivamente moldar um ambiente onde os jovens não apenas sobrevivem, mas também prosperam, contribuindo significativamente para o desenvolvimento sustentável da nação. Comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300"
12400,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
12171,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
11691,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
12014,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
12272,"Projeto muito relevante para os dias atuais, excelente iniciativa Vinícius! Boa sorte!"
12732,"Oi,

Muito bacana a proposta! Vote e comente na minha também: gid://decide/Decidim::Proposals::Proposal/12300"
11844,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
11795,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
12034,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
12019,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
12282,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
12089,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
11886,Proposta muito importante
12269,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
12252,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
12397,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
11949,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
11697,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
11782,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
11661,Suas ideias inovadoras e perspectivas únicas desafiam o status quo e inspiram mudanças significativas. Votado! Vote e comente em minha proposta também e vamos ampliar nossos debates: gid://decide/Decidim::Proposals::Proposal/12300
